created_at,id,text,screen_name,rt,fav
Fri Jul 01 23:03:52 +0000 2016,749015695468355584,#Stocks come roaring back after days of #Brexit sell-off this week: https://t.co/0JCnLx8q80 https://t.co/GXZVjBMlkl,PersonalCapital,0,1
Fri Jul 01 16:27:27 +0000 2016,748915933360467968,RT @jimpavia: Make these BIG mistakes and you'll get a smaller Social Security check https://t.co/oNpbehExwL,PersonalCapital,3,0
Thu Jun 30 20:38:39 +0000 2016,748616762992656385,SF Talks // We asked #SanFrancisco how they tackled their #WeddingFinancials: https://t.co/LwoO70KWVh https://t.co/XdVERPSZFY,PersonalCapital,0,1
Thu Jun 30 20:01:49 +0000 2016,748607491701776384,John Oliver exposes #hiddenfees that the average American faces via @LastWeekTonight #FYI #elfspotting #teacuppigs https://t.co/RQ8vGsNCQH,PersonalCapital,2,5
Wed Jun 29 22:00:13 +0000 2016,748274899983073281,Don\u2019t know who pays for what? Try these tips for navigating your wedding #finances: https://t.co/rEdqm2QOwR https://t.co/eAAsv9UER3,PersonalCapital,1,2
Tue Jun 28 20:10:54 +0000 2016,747885004231847937,Findings reveal one-third of high income households tend to live #paycheck-to-paycheck:\n https://t.co/Y0MRO6JwgA https://t.co/ryst0sgfKU,PersonalCapital,3,2
Tue Jun 28 16:13:15 +0000 2016,747825196237611013,"Struggling with massive student #loans? 4 steps to financial freedom, via @KatieLobosco: https://t.co/HuEqyfuV1s https://t.co/BV5Ce0jJvZ",PersonalCapital,0,1
Mon Jun 27 21:24:16 +0000 2016,747541079293984768,"After a historically large slump, should you venture near European #stocks? Via @roxanazega https://t.co/Cj81BA0kwH https://t.co/ZFFKBJRK94",PersonalCapital,0,1
Mon Jun 27 21:18:56 +0000 2016,747539737301286912,"Entrepreneurship is the way forward, says President Obama at #GES2016, via @lisahopeking : https://t.co/KgsjT2xWaH https://t.co/LiPSzC1ld5",PersonalCapital,0,0
Mon Jun 27 20:45:10 +0000 2016,747531238269870080,.@ATKearney study shows 60% of high-earners don't know what the pay for investment advice: https://t.co/CbujVW0Wqv https://t.co/3JA8lFFB6E,PersonalCapital,2,2
Mon Jun 27 18:07:47 +0000 2016,747491632715440128,Worried about what #Brexit means for your portfolio? Personal Capital advisors weigh in: https://t.co/77lMu1Yo7R https://t.co/E1lakFr9Io,PersonalCapital,4,6
Fri Jun 24 23:00:26 +0000 2016,746478117770797056,#Brexit stirs the world this week. What to know about the effect on #markets: https://t.co/dLBKYHFuKK https://t.co/kpYxYOMnfp,PersonalCapital,1,5
Fri Jun 24 21:25:49 +0000 2016,746454305134174208,British Millennials not in favor of #Brexit: https://t.co/kcuQuwvaU4,PersonalCapital,0,1
Fri Jun 24 18:04:44 +0000 2016,746403701737168896,"With less cash on hand, #Trump\u2019s lack of funds could become his downfall, via @CNN: https://t.co/Q2a8OrSp4a https://t.co/d70J4Nd1bi",PersonalCapital,0,0
Fri Jun 24 17:57:50 +0000 2016,746401963999256577,"\u2018#Fiduciary Rule\u2019 goes through! House backs #Obama\u2019s new administration rules, via @ABC. https://t.co/aLjMqyAOno https://t.co/psxPBb1OFc",PersonalCapital,1,3
