created_at,id,text,screen_name,followers,friends,rt,fav
Thu Jan 19 17:05:03 +0000 2017,822127746264551424,"Why you absolutely, positively must make growing your #retirement savings a priority this year. https://t.co/G5qbypMn47 @DanaPerino",mint,242609,7830,1,3
Wed Jan 18 23:05:06 +0000 2017,821855966639652865,"Consumed by #debt, can\u2019t begin to save. Help! @FARNOOSH to the rescue in this month\u2019s Mint Money Audit:\u2026 https://t.co/e299AOV96n",mint,242609,7830,1,3
Wed Jan 18 22:47:58 +0000 2017,821851654848913410,#RealTalk: Part of being an adult is managing your finances. Great #MoneyManagement tips for real life from\u2026 https://t.co/FayYGpKqOq,mint,242609,7830,0,4
Wed Jan 18 22:39:00 +0000 2017,821849397222899713,RT @TheWhimsySoul: Spilling my major secret on how I afford to travel - a big shoutout to @mint for making it easy https://t.co/J3h3GVWjAu\u2026,mint,242609,7830,2,0
Wed Jan 18 20:16:06 +0000 2017,821813435461734401,"Mint means many things, but most importantly, it\u2019s synonymous with your quest for #PersonalFinance perfection!\u2026 https://t.co/SQ9QvjlRxO",mint,242609,7830,0,2
Wed Jan 18 17:17:09 +0000 2017,821768403555938306,Week 2 of #SoMinty w/ @FARNOOSH focused on ID\u2019ing what fuels your money goals. Check out this week's theme &amp; tips \U0001f449\u2026 https://t.co/iLG6Y5hw7V,mint,242609,7830,0,1
Wed Jan 18 16:36:22 +0000 2017,821758137648771072,RT @laurenwethers: Just set a goal with @mint to pay off my student loans and my car by the end of 2020. Trying to stay accountable. https:\u2026,mint,242609,7830,5,0
Tue Jan 17 00:51:26 +0000 2017,821157952740610048,"Pulled in a million directions each day? Remember this: ""what you monitor, you manage."" Great #MoneyManagement tips\u2026 https://t.co/BoRgjoCQU2",mint,242609,7830,1,7
Mon Jan 16 21:12:05 +0000 2017,821102747974045696,"That moment when you\u2019re binging a show &amp; realize your cable bill is due \U0001f633 It\u2019s NBD \u2014 just log into Mint, pay your\u2026 https://t.co/laxbv5XR4e",mint,242609,7830,2,9
Sun Jan 15 21:23:04 +0000 2017,820743125790523392,Week 3 of @FARNOOSH\u2019s #SoMinty boot camp starts tomorrow! Tips &amp; inspiration for top-notch #FinancialFitness\u2026 https://t.co/qSG6kUnh7i,mint,242609,7830,2,4
Sun Jan 15 18:10:05 +0000 2017,820694561710284804,2017 will bring less sticker shock in housing &amp; more affordable rent this year. https://t.co/SPKaL74dTc @FARNOOSH https://t.co/UPERcZKk8X,mint,242609,7830,6,6
Sun Jan 15 05:06:47 +0000 2017,820497436632236032,"MintCares will be heading off shortly at 5:30 PM EST, see you on the weekend, #Minters!",mint,242609,7830,0,1
Sat Jan 14 18:22:03 +0000 2017,820335184650309632,"If your company offers an ESPP, ask questions &amp; get info \u2014\xa0it could be a big employee benefit you're overlooking!\u2026 https://t.co/c6QQslXQaE",mint,242609,7830,4,7
Sat Jan 14 17:14:04 +0000 2017,820318073026736128,"If your 2017 goal is to get your financial life together, try starting with these 9 areas: https://t.co/4AgWDmCDvm @mental_floss",mint,242609,7830,4,12
Fri Jan 13 20:30:07 +0000 2017,820005023874711552,Got a financial resolution? #PersonalFinance apps (like us \U0001f643) can help you spend smarter &amp; save more https://t.co/L6xpk31cPF @Investopedia,mint,242609,7830,5,8
Fri Jan 13 17:50:05 +0000 2017,819964751744823296,"We do the hard stuff like keeping track of your bill amounts &amp; due dates. All you have to do is log into Mint, pay\u2026 https://t.co/Q1Zkp8V4u6",mint,242609,7830,1,2
Fri Jan 13 16:10:45 +0000 2017,819939753588129792,RT @cocobassey: 3 Easy Tips to Master Your Money in 2017 https://t.co/lrTkirNgWE on @bloglovin,mint,242609,7830,6,0
Fri Jan 13 00:47:18 +0000 2017,819707358754603008,"RT @TheRealAlexSays: Some New Year's resolutions take work, while some are effortless. Just updated my @mint  and @acorns  accounts with cu\u2026",mint,242609,7830,1,0
Thu Jan 12 21:57:55 +0000 2017,819664733150334981,RT @arrowandapple: Blogged about my finances ironed out on the current flip house with @mint! https://t.co/m2snoCteM6\n #ad #billsandchill #\u2026,mint,242609,7830,1,0
Thu Jan 12 20:02:07 +0000 2017,819635590111039489,Throw around money in Nov &amp; Dec. like \U0001f4b8 \U0001f4b8 ? @FARNOOSH on getting spending &amp; debt under control:\u2026 https://t.co/1qWDNt7yn3,mint,242609,7830,5,12
Thu Jan 12 17:05:06 +0000 2017,819591042970320900,#TBT to week 1 of @FARNOOSH's #SoMinty Insta takeover. Check it out &amp; beef up your finances (no sweating required):\u2026 https://t.co/PhKoCPiEu8,mint,242609,7830,1,2
Thu Jan 12 00:05:24 +0000 2017,819334427285291009,RT @KBGreene: Check out @Mint to track and pay bills to keep tabs on our money in 2017 @laurenlyonscole on @cheddar https://t.co/8HidYpaT76,mint,242609,7830,4,0
Wed Jan 11 17:31:16 +0000 2017,819235239335755778,"A credit score ding IS a thing, when you miss a bill payment. Log into Mint, pay the #BillsAndChill, bruh. It\u2019s cal\u2026 https://t.co/3h8cQbSaeu",mint,242609,7830,4,7
Wed Jan 11 16:24:40 +0000 2017,819218477663866880,RT @abiyoyo12: Idk what I would do without the @mint app \U0001f62d\U0001f62d\U0001f62d it's helped me stop spending my money ridiculously and pay my bills on time \U0001f64f\U0001f3fd,mint,242609,7830,1,0
Tue Jan 10 22:45:28 +0000 2017,818951923193827328,"RT @CentSai: A3 @TheZebraCo I use Mint for budgeting, and nothing else besides that. It's really all I need to see my finances &amp; stay on tr\u2026",mint,242609,7830,3,0
Tue Jan 10 21:20:06 +0000 2017,818930440316788736,The average #StudentLoan balance is around $37K per Class of 2016 grad. @FARNOOSH\u2019s tips on how to deal:\u2026 https://t.co/jkJ8yriXO2,mint,242609,7830,5,9
Tue Jan 10 21:14:53 +0000 2017,818929127008903168,"RT @GooglePlay: It's like there's a bunch of tiny, smart, fiscally responsible people in your phone. @Mint US/CA only. https://t.co/fUpp01j\u2026",mint,242609,7830,12,0
Tue Jan 10 19:35:26 +0000 2017,818904101551423488,A7: Be sure you've deducted everything you can! Look back on your transactions and have a good tagging system in pl\u2026 https://t.co/paCE0LU3L4,mint,242609,7830,1,3
Tue Jan 10 19:27:18 +0000 2017,818902052503842816,RT @turbotax: A6: #1099 and #1095 to name a few! Here is our guide to #SelfEmployed tax forms: https://t.co/lRJFW3UOga #SelfEmployedTaxes,mint,242609,7830,4,0
Tue Jan 10 19:19:11 +0000 2017,818900010494349312,"RT @KBGreene: The gig-economy is fueling so many opportunities for new income that have tax implications, jump in, just keep eyes open! #se\u2026",mint,242609,7830,5,0
Tue Jan 10 19:08:52 +0000 2017,818897412232073216,"RT @KBGreene: A1: No way around the added federal self-employment taxes, but new deductions begin to balance the added tax burden #selfempl\u2026",mint,242609,7830,3,0
Tue Jan 10 19:07:52 +0000 2017,818897161240748033,"A2: Link inv accounts to Mint! We'll find &amp; send tax docs to TurboTax, which can then auto add them to your taxes!\u2026 https://t.co/v2HXsDyV7V",mint,242609,7830,2,6
Tue Jan 10 19:05:48 +0000 2017,818896642958970880,"RT @turbotax: Ask your tax questions using #SelfEmployedTaxes, and it might be answered on our live stream at the end of the chat!",mint,242609,7830,1,0
Tue Jan 10 19:05:27 +0000 2017,818896553188343808,A1: Be sure to track all of your expenses for deductions! Using an app like Mint can help \U0001f44d https://t.co/iXG7WexsUo,mint,242609,7830,2,5
Tue Jan 10 18:42:53 +0000 2017,818890873748406272,RT @turbotax: At 11am PST: Learn everything you need to know about filing your taxes if you\u2019re #SelfEmployed! Join by using the hashtag #Se\u2026,mint,242609,7830,3,0
Mon Jan 09 20:45:17 +0000 2017,818559288679534594,"When life gives you bills, use Mint. #BillsAndChill https://t.co/iok3w6Oqok",mint,242609,7830,3,9
Mon Jan 09 20:15:05 +0000 2017,818551689942827008,Ever hear of the 52-week money saving challenge? E/ week you save $1 more than the last. Try it! https://t.co/IUTbhd5ORi @tarynwilliford,mint,242609,7830,4,7
Mon Jan 09 16:19:25 +0000 2017,818492380974383106,RT @FARNOOSH: How are you doing with your #NewYear #resolutions &amp; #goals? Let's actually accomplish them this year together. https://t.co/F\u2026,mint,242609,7830,2,0
